1
572 836
219 527 95661
527 81 68371
81 549 86464
549 567 66458
567 398 6361
398 181 72967
181 205 25324
205 75 64018
75 15 90291
15 41 86608
41 207 75465
207 481 937
481 119 11387
119 350 46132
350 130 33549
130 433 44075
433 40 34925
40 498 18257
498 385 5881
385 94 32739
94 553 24782
553 353 25384
353 568 23513
568 273 18861
273 510 63829
510 224 65093
224 248 1821
248 486 19233
486 29 16766
29 52 47920
52 120 69536
120 463 76804
463 28 20371
28 484 60469
484 298 45977
298 355 85749
355 514 17187
514 239 27969
239 475 9263
475 206 3677
206 346 81193
346 187 3474
187 376 27728
376 480 11958
480 257 41918
257 430 40947
430 312 86712
312 520 61636
520 426 53017
426 237 53355
237 197 67550
197 193 71336
193 551 46424
551 196 90791
196 412 67650
412 110 17853
110 176 57048
176 12 3281
12 43 48723
43 14 20928
14 53 73394
53 244 1814
244 13 69229
13 557 19549
557 408 74177
408 159 98188
159 477 11078
477 492 25597
492 82 60384
82 50 84344
50 506 86041
506 38 90814
38 499 1275
499 73 60797
73 191 58970
191 388 57495
388 109 58998
109 543 96500
543 493 90857
493 44 73590
44 572 90641
572 42 54132
42 344 81751
344 223 71310
223 394 15343
394 167 68405
167 349 16682
349 95 61001
95 565 32455
565 26 48975
26 228 77420
228 111 49072
111 387 64935
387 444 99115
444 78 32864
78 190 38725
190 143 48554
143 233 86378
233 275 31101
275 532 69931
532 476 3269
476 166 40164
166 534 96630
534 460 59762
460 33 83109
33 436 88782
436 235 8151
235 509 33731
509 171 96357
171 79 62766
79 34 48575
34 148 11375
148 251 4840
251 270 5923
270 126 5884
126 562 90472
562 261 81315
261 421 25025
421 307 81700
307 24 39613
24 464 82697
464 566 62742
566 449 14683
449 106 9260
106 306 82330
306 505 63356
505 173 26173
173 456 68838
456 189 50891
189 103 95473
103 458 83461
458 179 38679
179 478 31973
478 404 48980
404 121 80648
121 132 64084
132 8 65974
8 258 13610
258 201 1606
201 114 53644
114 538 58051
538 264 15959
264 85 86539
85 465 82021
465 325 37048
325 472 12529
472 457 42938
457 362 30405
362 321 98715
321 366 89262
366 149 9226
149 247 83391
247 497 7046
497 54 21503
54 424 96441
424 36 19402
36 200 88489
200 425 59465
425 370 86922
370 163 21459
163 84 23756
84 104 48877
104 208 49662
208 482 21062
482 107 59236
107 27 37807
27 291 70679
291 559 717
559 256 8789
256 125 87049
125 339 82702
339 156 84507
156 451 3247
451 74 53489
74 443 21646
443 556 61856
556 483 68018
483 552 37767
552 345 53090
345 145 74069
145 369 43633
369 343 69413
343 504 20098
504 289 6032
289 278 83631
278 217 33846
217 351 98118
351 315 32542
315 303 93690
303 222 43819
222 236 37973
236 241 95564
241 89 15944
89 522 3117
522 229 55266
229 453 32686
453 80 9418
80 282 430
282 128 44158
128 215 16143
215 368 45276
368 281 72923
281 473 73597
473 529 56792
529 269 64191
269 468 90723
468 267 38730
267 329 93373
329 284 37573
284 99 90906
99 227 22969
227 517 43310
517 389 49443
389 268 10596
268 413 83648
413 462 2923
462 513 74261
513 102 57863
102 230 30384
230 198 74248
198 390 11130
390 434 16691
434 422 40888
422 203 76273
203 338 34313
338 152 46861
152 501 53300
501 92 93852
92 331 12892
331 322 16593
322 59 72011
59 213 18636
213 515 41620
515 162 2668
162 139 49312
139 118 58735
118 47 32858
47 108 59434
108 60 52519
60 150 73447
150 418 36119
418 326 36706
326 83 98224
83 218 38489
218 65 22368
65 334 8984
334 428 81041
428 469 57298
469 384 82725
384 136 58812
136 202 42283
202 70 83476
70 142 49112
142 571 61540
571 323 28066
323 471 52627
471 276 67737
276 86 10424
86 157 33488
157 63 21326
63 490 32408
490 6 73012
6 327 17799
327 359 98627
359 313 7076
313 127 6677
127 3 28500
3 407 34753
407 252 29027
252 541 22040
541 537 31621
537 544 47894
544 502 9886
502 395 93190
395 212 92729
212 429 6324
429 30 42057
30 374 87596
374 383 31378
383 474 47590
474 67 33059
67 105 13892
105 170 41554
170 341 1610
341 409 46462
409 347 88185
347 122 21698
122 18 25950
18 442 21347
442 254 31195
254 160 13668
160 402 88105
402 397 75998
397 332 90179
332 381 79850
381 71 82163
71 49 64814
49 55 35926
55 563 24543
563 194 28909
194 154 40362
154 243 19975
243 46 97692
46 220 64033
220 178 41751
178 432 42127
432 56 92507
56 299 73801
299 58 42650
58 495 82193
495 87 60971
87 112 32349
112 467 84489
467 300 53656
300 386 78179
386 279 67895
279 308 1210
308 25 87966
25 23 10892
23 564 26805
564 151 93996
151 393 14794
393 316 86307
316 184 19447
184 238 54675
238 535 63240
535 147 47368
147 525 37430
525 180 78886
180 364 12079
364 461 88939
461 526 88308
526 272 63219
272 7 98163
